dataset,category,image_index,map,nss,auc_judd,sauc,cc,sim,kl
MIT1003,stimuli,33,uniform,0.0,0.5,0.5,0.0,0.23970021012506715,1.9569230758096194
MIT1003,stimuli,33,center_prior,0.418197394122632,0.6155784369216238,0.29342391304347826,0.1580845764225811,0.26105540126127436,1.8140495998779396
MIT1003,stimuli,33,gradient_only,1.2216235638949302,0.804392099533653,0.8453957939508507,0.3215681676462369,0.2948395443530529,1.570625532540702
MIT1003,stimuli,33,full_awmb,1.3508184945625212,0.8340974120000139,0.8105576559546315,0.3753298112886623,0.2888093902074887,1.5747172904439997
MIT1003,stimuli,33,detail_retention,0.8840366580271484,0.8340970864599646,0.8104938563327032,0.2557920731422097,0.2702738357465613,1.7101785514103296
MIT1003,stimuli,34,uniform,0.0,0.5,0.5,0.0,0.25792190108082563,1.7032886873153696
MIT1003,stimuli,34,center_prior,1.3771034508221567,0.8830634694793739,0.6418776737195051,0.5184423680115106,0.3466112957106898,1.261677464981383
MIT1003,stimuli,34,gradient_only,0.87707533796076,0.7752708997687495,0.6644097583535671,0.30504950773921413,0.3305370347820733,1.3741418949702382
MIT1003,stimuli,34,full_awmb,1.2106934248874572,0.8307520269041563,0.6801375881604811,0.4344073830094619,0.34964773371028407,1.2822507697771728
MIT1003,stimuli,34,detail_retention,1.0949443166645625,0.8307520269041563,0.6815204069834665,0.39309870565367167,0.3527301637558277,1.2464494607628522
MIT1003,stimuli,35,uniform,0.0,0.5,0.5,0.0,0.30632246911765987,1.3995650151617878
MIT1003,stimuli,35,center_prior,1.1351211648747637,0.8286782547795087,0.5086972354922077,0.5291402958489989,0.4130454616232567,1.0257577856886524
MIT1003,stimuli,35,gradient_only,0.9303732143854478,0.722269497954701,0.7568799436134387,0.32957057468173023,0.3606394256760178,1.2264590157884647
MIT1003,stimuli,35,full_awmb,1.3357400440638925,0.826175655841781,0.771862322813063,0.5249484009253765,0.39736582523548697,1.0296055433180016
MIT1003,stimuli,35,detail_retention,1.1018130689816128,0.826175744225992,0.7728424308873052,0.4820095596980553,0.4355409060891459,0.9235075532157928
MIT1003,stimuli,36,uniform,0.0,0.5,0.5,0.0,0.3776934080960561,1.1646586531877525
MIT1003,stimuli,36,center_prior,1.2103066704548133,0.8407141069265072,0.5758078525527859,0.6312768306134648,0.490613844861148,0.7759116280239629
MIT1003,stimuli,36,gradient_only,0.4180176151217428,0.6155178894379735,0.5130350963914978,0.2649076780986898,0.44029260607442233,1.0323253212858658
MIT1003,stimuli,36,full_awmb,0.7679335300560769,0.7120153613116341,0.5242546430336841,0.43997952437619686,0.47922966262333233,0.8520571324152018
MIT1003,stimuli,36,detail_retention,0.7620011956282915,0.7120153613116341,0.5283708777628697,0.430059117992697,0.4970250223798272,0.7865798909455933
MIT1003,stimuli,37,uniform,0.0,0.5,0.5,0.0,0.29673116437762775,1.5485590278809136
MIT1003,stimuli,37,center_prior,1.2961876889764266,0.8638755219257435,0.6056171926364234,0.5153150303237926,0.38869066936220587,1.129481101887789
MIT1003,stimuli,37,gradient_only,0.19445357545803385,0.5360005926844923,0.48405900723208417,0.15418188806347197,0.34954529808361623,1.781179962871863
MIT1003,stimuli,37,full_awmb,0.5928624311612786,0.6894504719467792,0.5235387902695595,0.30302689182080295,0.3801850923242288,1.2780199524028675
MIT1003,stimuli,37,detail_retention,0.6565236755514251,0.6894503439924414,0.5331566403681788,0.2996481135688749,0.39832775169294765,1.2013183899221882
MIT1003,stimuli,38,uniform,0.0,0.5,0.5,0.0,0.2923176752364409,1.6441938682696535
MIT1003,stimuli,38,center_prior,1.2828955765346834,0.8530205304708205,0.6253997979968016,0.4539116133731494,0.3674623648991748,1.2410490152825215
MIT1003,stimuli,38,gradient_only,0.2190994508617994,0.6123418472457915,0.5309637235922903,0.09027091557890772,0.30576561995918833,1.6519761742995716
MIT1003,stimuli,38,full_awmb,0.6665481525294414,0.7374340402209663,0.5594874168841006,0.2470605710245461,0.3461082508821185,1.3853510477778557
MIT1003,stimuli,38,detail_retention,0.8598155691827135,0.7374341318413143,0.5550921639592628,0.29034258836360094,0.36503294001916375,1.2722282807341525
MIT1003,stimuli,39,uniform,0.0,0.5,0.5,0.0,0.3214635772844821,1.3887870597085863
MIT1003,stimuli,39,center_prior,1.261200712334388,0.8531804670428418,0.5983574552269888,0.5767663971640122,0.4214274650121646,0.9823382360146764
MIT1003,stimuli,39,gradient_only,1.1241291990408782,0.7996551909633217,0.6537984173261141,0.4468882333403824,0.44473946746780924,0.9377267009099339
MIT1003,stimuli,39,full_awmb,1.2941604649425553,0.8373373252012575,0.6632757184506454,0.5380800760441643,0.4492164828530292,0.8931251240734637
MIT1003,stimuli,39,detail_retention,1.1042594198378475,0.8373372233193769,0.6564160766347357,0.4865648224646661,0.47189305184392516,0.8263085981049484
MIT1003,stimuli,40,uniform,0.0,0.5,0.5,0.0,0.3604399927359546,1.32581719994617
MIT1003,stimuli,40,center_prior,1.1464127906536778,0.8282034709857097,0.5079101562499999,0.5072416175530718,0.4674211757275746,0.9484482572637298
MIT1003,stimuli,40,gradient_only,0.8203621639376016,0.7461098900550153,0.664140625,0.3003104977110174,0.4403930011917267,1.0524694029343213
